timestamp;router_ping;reference_ping
1657208220,515969;3,568;35,042
1657208220,559556;3,164;34,856
1657208220,602649;2,779;35,258
1657208220,646848;2,808;33,475
1657208220,691435;3,205;35,846
1657208220,74369;3,411;35,29
1657208220,800697;3,553;35,507
1657208220,857482;4,164;35,634
1657208220,9153228;3,536;35,13
1657208220,973262;3,549;35,224
1657208221,030656;3,301;34,999
1657208221,086258;3,592;35,229
1657208221,141966;3,758;35,215
1657208221,195812;2,981;34,504
1657208221,2453701;4,481;35,416
1657208221,297181;3,67;35,361
1657208221,349975;3,592;35,237
1657208221,4034991;3,455;35,08
1657208221,457551;3,354;35,327
1657208221,516895;3,281;35,088
1657208221,5783591;3,473;35,137
1657208221,641172;3,519;35,685
1657208221,7018082;3,898;35,91
1657208221,761375;5,28;36,006
1657208221,8262029;9,22;35,964
1657208221,893045;3,744;35,584
1657208221,9545841;3,496;35,193
1657208222,0128698;2,19;35,11
1657208222,0716019;3,992;35,674
1657208222,1324081;3,73;35,348
1657208222,190816;4,21;35,493
1657208222,2469492;3,457;35,359
1657208222,303613;3,456;35,101
1657208222,359474;3,214;35,452
1657208222,4106429;3,14;35,022
1657208222,4625762;3,424;36,787
1657208222,5242748;3,497;35,221
1657208222,5786471;3,491;35,289
1657208222,635026;3,577;35,284
1657208222,7001019;3,088;34,747
1657208222,756462;3,067;35,317
1657208222,8131452;3,461;35,381
1657208222,871467;3,485;35,648
1657208222,9304519;3,859;38,902
1657208222,9917681;2,991;34,693
1657208223,048415;3,494;35,173
1657208223,107618;3,781;35,127
1657208223,165538;3,651;35,686
1657208223,2256708;3,288;35,281
1657208223,2853708;3,33;34,619
1657208223,33804;3,488;34,866
1657208223,395208;2,315;41,541
1657208223,459525;3,034;35,816
1657208223,519045;3,599;35,18
1657208223,574053;3,613;35,021
1657208223,619848;2,688;34,712
1657208223,663458;3,163;36,607
1657208223,714289;2,668;34,897
1657208223,764504;2,869;35,917
1657208223,821343;3,581;35,508
1657208223,880024;3,511;35,826
1657208223,93766;3,479;35,777
1657208223,982275;3,46;35,367
1657208224,030656;3,892;35,887
1657208224,075742;3,138;36,288
1657208224,1216252;3,511;35,354
1657208224,1658628;2,968;34,485
1657208224,208674;2,845;34,5
1657208224,252353;3,834;34,309
1657208224,297079;3,187;34,579
1657208224,341244;2,716;35,679
1657208224,385062;3,456;35,935
1657208224,4292731;3,016;35,154
1657208224,472096;3,182;36,21
1657208224,5159419;2,948;36,918
1657208224,560558;3,901;34,77
1657208224,60529;3,191;38,348
1657208224,65713;3,18;38,533
1657208224,708586;3,244;35,183
1657208224,7568388;3,513;35,123
1657208224,8072488;2,799;34,378
1657208224,853268;3,166;35,152
1657208224,8983161;3,188;35,188
1657208224,946374;3,236;35,155
1657208224,992532;3,548;36,185
1657208225,04194;3,504;35,079
1657208225,090249;3,327;34,878
1657208225,144576;3,757;39,999
1657208225,204736;3,623;34,668
1657208225,264361;3,358;35,039
1657208225,321454;3,379;35,039
1657208225,379413;3,27;34,75
1657208225,4312909;3,243;35,157
1657208225,4768362;3,237;35,241
1657208225,5220962;3,41;35,363
1657208225,569095;3,246;34,945
1657208225,617119;3,202;35,231
1657208225,663564;3,285;34,959
1657208225,7102232;2,733;34,476
1657208225,7567308;3,003;35,183
1657208225,804426;3,187;34,879
1657208225,8495739;3,207;34,808
1657208225,895039;3,213;34,815
1657208225,941462;4,143;36,056
1657208225,988512;3,544;36,006
1657208226,034095;3,537;35,378
1657208226,078764;3,586;35,293
1657208226,124732;2,955;35,34
1657208226,170111;3,605;35,468
1657208226,217015;3,381;35,036
1657208226,262797;3,224;35,013
1657208226,3074582;2,708;34,6
1657208226,35213;3,201;35,195
1657208226,399144;3,174;35,035
1657208226,446892;3,198;34,937
1657208226,4954472;3,123;35,143
1657208226,540714;3,424;34,992
1657208226,585242;3,123;35,277
1657208226,6297312;4,351;35,728
1657208226,67731;3,209;34,958
1657208226,723038;3,186;35,032
1657208226,770197;3,149;35,176
1657208226,819058;3,156;34,781
1657208226,864833;3,446;34,349
1657208226,908823;2,68;34,266
1657208226,951278;3,119;34,899
1657208226,994734;3,722;34,767
1657208227,039011;3,141;35,005
1657208227,083343;3,049;35,182
1657208227,12803;3,464;35,269
1657208227,17253;3,393;34,995
1657208227,217015;3,007;34,493
1657208227,261407;3,215;34,992
1657208227,306337;2,795;34,926
1657208227,351068;3,127;35,078
1657208227,396458;3,242;34,9
1657208227,44271;3,621;35,306
1657208227,490667;3,428;34,046
1657208227,537555;3,116;35,423
1657208227,583379;3,18;35,034
1657208227,627342;2,908;35,053
1657208227,671467;3,165;34,839
1657208227,715917;3,201;35,165
1657208227,761705;3,213;37,354
1657208227,8103309;3,484;34,386
1657208227,856847;3,229;34,85
1657208227,9032059;3,682;34,942
1657208227,9506729;3,164;37,153
1657208227,999489;3,135;36,904
1657208228,049441;3,162;35,363
1657208228,097108;3,071;34,894
1657208228,140673;3,61;35,027
1657208228,18514;3,581;35,212
1657208228,2303538;3,589;35,439
1657208228,276219;3,004;35,266
1657208228,322676;3,247;34,913
1657208228,367965;3,173;34,451
1657208228,4138901;2,859;34,655
1657208228,46067;3,209;39,727
1657208228,5133078;3,188;40,489
1657208228,56691;2,776;33,991
1657208228,6132889;3,196;34,899
1657208228,658072;3,195;35,119
1657208228,701845;2,733;34,36
1657208228,744641;2,712;34,287
1657208228,788789;2,791;35,03
1657208228,834869;3,038;34,743
1657208228,881384;4,093;35,023
1657208228,931085;3,257;35,062
1657208228,976071;3,401;34,919
1657208229,019308;3,129;34,995
1657208229,063002;3,144;34,661
1657208229,107135;2,7;34,726
1657208229,150951;3,135;34,763
1657208229,195492;3,226;35,066
1657208229,239109;3,446;35,502
1657208229,283071;3,436;34,844
1657208229,326376;3,12;35,212
1657208229,3696089;2,72;34,972
1657208229,412246;3,087;34,692
1657208229,455465;3,197;34,811
1657208229,498822;3,133;34,591
1657208229,542135;4,733;35,489
1657208229,5891032;3,544;35,057
1657208229,635349;3,52;36,02
1657208229,683512;2,799;34,577
1657208229,726679;3,204;34,848
1657208229,7709298;3,225;35,026
1657208229,815369;3,077;34,997
1657208229,861004;2,741;34,32
1657208229,90676;3,254;34,918
1657208229,9563541;3,578;34,759
1657208230,007196;3,237;35,045
1657208230,058583;3,154;34,922
1657208230,1099231;2,729;34,953
1657208230,158338;3,236;34,9
1657208230,206553;3,927;35,24
1657208230,254198;3,646;35,045
1657208230,298709;3,157;34,924
1657208230,3427682;3,668;35,317
1657208230,3884318;3,624;35,228
1657208230,434937;3,418;35,193
1657208230,483488;3,628;35,387
1657208230,5344598;3,586;35,051
1657208230,585998;2,845;34,47
1657208230,637461;3,182;35,496
1657208230,689444;3,48;34,718
1657208230,758465;3,184;35,228
1657208230,824094;3,123;35,024
1657208230,868104;3,156;35,175
1657208230,912831;3,243;35,071
1657208230,958926;3,17;35,19
1657208231,006258;3,171;34,584
1657208231,0547252;3,204;35,209
1657208231,105076;3,265;35,091
1657208231,155655;3,206;35,204
1657208231,215014;3,398;34,876
1657208231,2652822;3,42;34,986
1657208231,311578;3,368;39,079
1657208231,3604789;3,486;35,212
