timestamp;router_ping;reference_ping
1657205553,1620421;7,318;34,655
1657205553,252662;3,543;42,272
1657205553,305612;4,685;38,298
1657205553,358766;11,052;34,495
1657205553,4191191;3,464;37,748
1657205553,479212;34,787;53,567
1657205553,587931;4,873;34,953
1657205553,647153;3,27;37,115
1657205553,706987;4,171;34,821
1657205553,76292;12,268;55,751
1657205553,8513432;3,902;45,981
1657205553,921705;3,651;46,104
1657205553,9915898;5,154;34,761
1657205554,052202;13,827;69,127
1657205554,15562;31,35;40,964
1657205554,249741;3,832;35,097
1657205554,308257;3,668;34,53
1657205554,3674839;3,384;63,261
1657205554,454315;3,333;36,327
1657205554,515108;3,834;36,094
1657205554,5741792;3,987;39,067
1657205554,6377852;4,789;50,009
1657205554,719805;3,579;35,377
1657205554,778375;3,509;39,47
1657205554,8421419;3,034;47,478
1657205554,9132721;5,236;35,218
1657205554,974942;34,71;36,152
1657205555,0672681;4,965;35,037
1657205555,127819;4,919;35,275
1657205555,1867352;3,862;41,268
1657205555,253236;4,126;47,254
1657205555,324327;6,041;35,798
1657205555,382905;4,793;36,089
1657205555,4446778;23,512;37,24
1657205555,527767;5,129;384,544
1657205555,939043;8,532;34,385
1657205556,003128;2,917;43,236
1657205556,069738;4,338;50,753
1657205567,169156;22,782;36,252
1657205567,251761;5,775;74,015
1657205567,3585129;9,938;44,003
1657205567,44062;11,284;53,8
1657205567,526742;4,665;35,606
1657205567,5866618;25,181;48,471
1657205567,680541;21,404;35,247
1657205567,756202;3,317;48,042
1657205567,8258638;3,684;87,176
1657205567,940309;19,044;39,297
1657205568,0196521;6,943;34,547
1657205568,079913;8,35;48,142
1657205568,154507;10,394;93,919
1657205568,277788;3,598;35,77
1657205568,389036;3,789;36,428
1657205568,446187;6,653;45,114
1657205568,52033;107,893;47,866
1657205568,7009542;4,605;43,745
1657205568,765001;10,84;139,728
1657205568,939188;7,05;41,481
1657205569,003788;3,415;40,561
1657205569,07133;3,491;59,713
1657205569,152173;4,854;35,574
1657205569,211083;3,784;51,29
1657205569,285098;14,851;36,015
1657205569,354401;4,579;42,686
1657205569,4207098;3,777;42,302
1657205569,486905;3,935;44,96
1657205569,556984;5,087;35,044
1657205569,619936;3,408;75,18
1657205569,720597;4,429;46,817
1657205569,794013;4,144;45,055
1657205569,865118;5,807;35,921
1657205569,930702;3,982;63,622
1657205570,018649;7,684;42,692
1657205570,088945;3,729;34,975
