timestamp;router_ping;reference_ping
1657206567,582911;11,511;34,698
1657206567,652578;3,343;34,574
1657206567,696359;3,184;34,699
1657206567,742381;3,294;34,181
1657206567,791309;3,267;34,649
1657206567,845558;3,405;34,47
1657206567,904476;3,405;35,308
1657206567,963427;3,583;35,242
1657206568,0219631;3,697;34,685
1657206568,078568;3,476;34,776
1657206568,1338649;3,333;35,141
1657206568,191972;4,514;37,266
1657206568,252086;3,879;35,214
1657206568,31087;3,492;35,062
1657206568,367011;3,034;34,247
1657206568,42068;3,016;34,159
1657206568,473863;2,686;34,76
1657206568,527562;3,031;34,059
1657206568,581197;3,443;34,693
1657206568,6382668;3,345;34,287
1657206568,69958;3,134;34,339
1657206568,7701938;3,351;35,174
1657206568,8437061;2,991;34,357
1657206568,8948321;3,019;34,206
1657206568,949696;3,213;34,334
1657206569,0083;3,232;34,894
1657206569,0630348;3,791;33,544
1657206569,117397;3,557;35,02
1657206569,181668;3,024;37,003
1657206569,2422578;3,457;35,478
1657206569,299675;5,549;34,44
1657206569,3588731;3,467;34,294
1657206569,4180548;3,41;34,313
1657206569,471309;3,476;36,138
1657206569,533227;4,072;35,746
1657206569,5918589;3,712;34,872
1657206569,65028;3,424;34,755
1657206569,707613;3,516;34,757
1657206569,7647328;3,018;34,929
1657206569,822311;3,237;35,429
1657206569,8886201;3,749;58,989
1657206569,96666;3,527;34,499
1657206570,0333152;3,463;34,881
1657206570,0905359;3,885;37,905
1657206570,152134;3,691;35,05
1657206570,209246;3,483;37,013
1657206570,268929;3,707;37,64
1657206570,3289652;3,06;35,457
1657206570,386689;3,869;35,93
1657206570,446829;3,428;34,818
1657206570,508485;2,95;34,04
1657206570,560572;3,46;34,547
1657206570,617386;3,661;35,023
1657206570,675648;3,032;34,544
1657206570,732903;3,425;34,221
1657206570,78928;3,446;33,871
1657206570,8460429;3,013;34,851
1657206570,904424;3,317;34,644
1657206570,9634821;3,057;35,055
1657206571,021657;4,168;35,002
1657206571,0799448;3,683;34,938
1657206571,13753;3,709;34,862
1657206571,189755;2,999;36,619
1657206571,244784;3,262;35,474
1657206571,299649;3,5;34,696
1657206571,352631;3,154;34,67
1657206571,404625;3,493;34,784
1657206571,461946;3,442;34,745
1657206571,516114;3,302;34,403
1657206571,5664089;4,206;34,703
1657206571,6201448;3,718;35,108
1657206571,67424;3,3;34,948
1657206571,728391;3,473;34,419
1657206571,7834082;2,969;34,396
1657206571,835552;3,317;34,534
1657206571,887496;3,404;34,981
1657206571,942934;3,095;34,148
1657206572,002134;4,173;34,983
1657206572,0621471;3,459;34,604
1657206572,1196449;3,226;34,62
1657206572,1697102;3,598;34,71
1657206572,222083;4,384;35,064
1657206572,2782059;3,344;34,985
1657206572,332633;3,298;34,633
1657206572,3874931;2,936;34,349
1657206572,44131;3,521;35,463
1657206572,49773;4,293;35,248
1657206572,556276;3,879;36,116
1657206572,617585;3,576;36,745
1657206572,675678;3,631;35,247
1657206572,7317739;3,49;34,99
1657206572,789642;3,532;35,05
1657206572,85021;3,013;34,895
1657206572,903239;3,195;34,307
1657206572,954431;3,293;34,834
1657206573,0062761;2,873;34,692
1657206573,056297;3,235;34,616
1657206573,105744;3,267;34,81
1657206573,157544;3,32;35,566
1657206573,216706;3,265;35,16
1657206573,270226;3,761;34,93
1657206573,3231301;3,675;34,837
1657206573,381977;3,564;35,19
1657206573,438027;3,9;35,148
1657206573,496955;3,244;35,168
1657206573,5508108;3,365;35,004
1657206573,602993;3,168;35,358
1657206573,659755;3,902;35,313
1657206573,714644;3,813;35,688
1657206573,772398;3,229;36,118
1657206573,8273652;3,557;40,799
1657206573,893474;3,401;35,612
1657206573,953275;3,627;35,14
1657206574,011783;2,953;35,11
1657206574,068567;3,837;35,177
1657206574,12697;3,403;34,89
1657206574,18578;2,958;34,619
1657206574,241029;3,395;35,17
1657206574,2990239;3,762;35,653
1657206574,3564968;3,277;35,104
1657206574,413656;3,456;35,098
1657206574,47153;3,832;35,381
1657206574,5302641;3,471;35,257
1657206574,588511;3,774;35,825
1657206574,6474519;3,971;35,451
1657206574,706603;3,916;35,887
1657206574,764693;4,533;35,452
1657206574,823024;3,887;37,579
1657206574,884918;4,127;35,897
1657206574,946673;3,708;34,963
1657206575,00483;3,406;38,77
1657206575,0670269;4,065;34,474
1657206575,124817;3,388;35,089
1657206575,178241;3,449;35,228
1657206575,237089;3,484;35,136
1657206575,29464;3,333;35,347
1657206575,3520472;3,811;37,349
1657206575,411583;3,656;35,065
1657206575,469645;3,427;35,317
1657206575,528286;4,293;35,554
1657206575,59085;3,758;35,196
1657206575,653552;3,507;35,349
1657206575,712422;3,844;35,195
1657206575,769601;3,519;35,058
1657206575,827001;3,451;34,777
1657206575,8838332;3,495;35,122
1657206575,944461;3,417;34,801
1657206576,0028312;3,002;34,929
1657206576,0588531;3,026;35,275
1657206576,118305;3,946;34,955
1657206576,1786308;3,219;34,773
1657206576,2296908;3,558;35,505
1657206576,282182;2,943;46,235
1657206576,3477042;3,48;35,034
1657206576,403591;4,21;35,655
1657206576,461751;3,727;35,737
1657206576,5204659;3,388;34,812
1657206576,575885;4,06;34,41
1657206576,628575;3,333;34,86
1657206576,684947;3,85;35,582
1657206576,741955;3,477;34,464
1657206576,794812;4,42;35,027
1657206576,8504121;3,989;35,379
1657206576,911785;3,211;33,988
1657206576,963704;3,435;34,428
1657206577,015798;3,335;34,721
1657206577,067893;5,923;34,599
1657206577,123384;3,769;35,479
1657206577,176587;3,224;34,513
1657206577,228729;4,234;34,428
1657206577,2805529;2,877;35,351
1657206577,335314;3,742;34,933
1657206577,394628;3,481;35,224
1657206577,453952;3,877;35,509
1657206577,513772;3,685;35,371
1657206577,573418;3,482;35,217
1657206577,633513;3,96;34,787
1657206577,694735;3,43;35,006
1657206577,751728;3,831;35,227
1657206577,809841;3,464;34,911
1657206577,868444;3,481;36,19
1657206577,92463;3,497;36,911
1657206577,984388;3,344;34,712
1657206578,038292;3,194;34,516
1657206578,1036139;3,106;34,502
1657206578,15489;2,219;34,472
1657206578,2218041;3,176;34,122
1657206578,269304;2,548;34,938
1657206578,3527539;3,284;34,805
1657206578,414428;3,616;34,158
1657206578,475213;3,336;34,834
1657206578,52536;3,646;34,515
1657206578,57865;3,94;34,191
1657206578,644067;3,267;34,853
1657206578,6996741;2,668;34,918
1657206578,824835;3,25;34,274
1657206578,925092;3,655;34,659
1657206578,994833;3,678;35,462
1657206579,046229;3,85;35,28
1657206579,0977228;3,605;34,342
1657206579,147341;2,817;34,496
1657206579,19721;3,299;34,048
1657206579,250591;3,203;34,68
1657206579,303148;3,561;34,699
1657206579,40407;2,966;34,544
1657206579,456521;4,034;34,912
1657206579,507367;3,319;36,08
1657206579,567381;3,608;34,909
1657206579,6153688;3,668;34,845
1657206579,6674;2,798;34,272
1657206579,722103;3,272;34,635
1657206579,7741911;3,609;35,258
1657206579,824852;3,453;34,838
1657206579,874954;3,63;34,939
1657206579,926153;3,311;35,247
1657206579,9779232;3,055;34,282
1657206580,035855;3,608;34,529
1657206580,092468;3,319;34,495
1657206580,147237;3,262;34,553
1657206580,2014;3,717;34,753
1657206580,254117;3,676;35,11
1657206580,310622;3,682;35,094
1657206580,368265;3,402;34,935
1657206580,4246988;4,21;34,911
1657206580,477346;3,998;34,988
1657206580,532589;2,831;34,792
1657206580,5836859;2,97;34,607
1657206580,639403;3,619;35,241
1657206580,695982;3,551;35,198
1657206580,75508;2,882;35,345
1657206580,815957;3,701;35,151
1657206580,8769732;2,926;34,693
1657206580,933832;3,357;35,015
1657206580,991968;3,5;34,96
1657206581,056192;3,405;35,562
1657206581,116161;3,814;35,635
1657206581,171221;3,274;35,406
1657206581,223535;3,472;35,571
1657206581,279576;3,281;35,082
1657206581,332551;3,642;35,776
1657206581,393787;3,746;43,806
1657206581,458847;3,507;34,719
1657206581,516053;3,659;35,062
1657206581,574326;3,661;35,007
1657206581,6325738;4,238;35,183
1657206581,690214;3,797;35,099
1657206581,74944;4,221;35,161
1657206581,807776;3,477;35,613
1657206581,864396;3,739;35,306
1657206581,9218812;3,862;35,405
1657206581,980076;3,637;34,923
1657206582,0365639;3,068;34,949
1657206582,0931048;3,053;34,769
1657206582,1498098;3,503;34,838
1657206582,206017;3,289;34,855
1657206582,262601;3,444;34,604
1657206582,319071;3,917;35,068
1657206582,3756669;3,386;36,169
1657206582,4337761;4,28;35,134
1657206582,49087;3,82;35,069
1657206582,548191;3,423;35,021
1657206582,604296;3,698;35,314
1657206582,6643898;3,564;40,636
1657206582,727743;3,802;35,576
