timestamp;router_ping;reference_ping
1657216900,055619;11,67;97,472
1657216900,156588;3,406;90,426
1657216900,2525;3,291;90,689
1657216900,3548229;3,303;90,891
1657216900,4554381;3,295;90,083
1657216900,559648;3,553;89,486
1657216900,662657;3,751;90,65
1657216900,763086;3,834;95,763
1657216900,871758;3,732;90,987
1657216900,977927;3,682;90,935
1657216901,08426;3,915;90,66
1657216901,1888692;3,536;91,15
1657216901,294954;3,506;90,378
1657216901,3979268;3,893;90,98
1657216901,5041962;4,039;90,461
1657216901,608342;3,629;90,103
1657216901,712272;3,487;90,755
1657216901,816607;3,201;89,786
1657216901,920098;3,399;90,67
1657216902,023385;3,708;90,281
1657216902,128308;3,062;89,911
1657216902,230732;3,477;90,668
1657216902,334956;3,181;90,536
1657216902,437397;3,101;89,842
1657216902,536923;3,053;89,837
1657216902,637922;3,147;89,79
1657216902,738836;2,704;89,976
1657216902,83997;3,819;90,233
1657216902,934498;2,676;89,729
1657216903,027633;2,369;89,909
1657216903,1209972;2,601;89,869
1657216903,2143738;3,252;90,397
1657216903,308321;2,884;90,078
1657216903,4019032;2,778;90,167
1657216903,495744;2,949;90,298
1657216903,590935;2,822;90,058
1657216903,689433;3,444;90,437
1657216903,79333;3,319;90,641
1657216903,8973389;3,813;90,477
1657216904,000648;3,544;90,041
1657216904,103293;4,22;90,292
1657216904,2056;3,79;97,222
1657216904,309862;2,168;91,166
1657216904,4258041;2,611;90,357
1657216904,5245068;3,367;90,487
1657216904,627486;3,587;90,305
1657216904,730984;3,604;90,487
1657216904,835346;3,265;90,349
1657216904,939687;3,38;90,119
1657216905,0436668;3,421;90,426
1657216905,14763;3,816;90,304
1657216905,2519639;3,576;90,173
1657216905,354651;2,602;89,995
1657216905,448535;2,326;90,119
1657216905,5450308;4,48;90,792
1657216905,6494951;3,808;90,607
1657216905,7534132;3,623;90,117
1657216905,868715;3,529;90,483
1657216905,971518;3,569;91,069
1657216906,0755122;3,436;90,26
1657216906,178014;3,814;90,14
1657216906,28091;3,541;90,15
1657216906,383438;3,129;90,266
1657216906,4819572;2,985;94,587
1657216906,5823202;3,044;90,118
1657216906,6825202;3,541;90,226
1657216906,784975;3,362;90,189
1657216906,88448;3,128;89,586
1657216906,984192;3,304;89,636
1657216907,0852768;3,462;89,931
1657216907,186263;3,571;90,062
1657216907,2875662;3,645;90,541
1657216907,3897011;2,733;89,94
1657216907,48843;2,277;89,958
1657216907,584929;3,294;89,765
1657216907,680792;2,754;90,429
1657216907,780263;3,838;92,5
1657216907,885098;3,157;90,132
1657216907,987455;3,345;89,468
1657216908,089378;3,338;90,224
1657216908,191148;3,927;90,114
1657216908,293992;3,429;88,926
1657216908,394778;4,163;90,293
1657216908,4934552;3,609;90,212
1657216908,595201;2,799;89,638
1657216908,6896052;3,551;90,225
1657216908,786452;3,362;90,088
1657216908,8888829;3,574;90,266
1657216908,9919791;3,639;90,492
1657216909,096183;3,496;90,632
1657216909,199235;3,437;89,778
1657216909,3024452;4,587;93,015
1657216909,4086452;2,455;93,366
1657216909,510464;3,47;90,287
1657216909,612576;3,539;90,699
1657216909,715568;2,969;89,478
1657216909,809325;2,426;90,4
1657216909,9073868;3,98;90,682
1657216910,011626;3,093;89,431
1657216910,113814;3,455;89,864
1657216910,216243;2,94;90,521
1657216910,320168;3,656;90,623
1657216910,4246058;4,344;90,393
1657216910,528793;3,558;90,906
1657216910,633704;4,721;90,592
1657216910,73754;2,607;90,651
1657216910,835414;3,284;90,054
1657216910,9318762;2,997;90,142
1657216911,032681;3,479;90,283
1657216911,1351218;3,38;90,215
1657216911,237296;3,344;90,518
1657216911,340579;3,391;94,34
1657216911,448411;3,759;92,116
1657216911,553625;3,494;93,322
1657216911,659759;3,047;90,484
1657216911,763558;3,627;90,887
1657216911,866001;2,739;90,402
1657216911,960596;2,786;90,096
1657216912,05857;3,889;90,327
1657216912,162308;3,423;90,304
1657216912,264864;3,643;89,977
1657216912,3671901;3,451;90,53
1657216912,471333;3,724;90,308
1657216912,575436;3,528;89,768
1657216912,6784241;3,39;90,551
1657216912,782702;3,954;90,996
1657216912,886752;3,426;89,669
1657216912,986064;2,864;89,82
1657216913,0812988;3,405;90,159
1657216913,181963;3,438;90,305
1657216913,28453;3,39;90,153
1657216913,387133;3,355;90,575
1657216913,48949;3,411;90,217
1657216913,592206;3,437;90,027
1657216913,6952991;3,6;90,335
1657216913,798924;3,557;90,278
1657216913,9029162;3,089;90,041
1657216914,005434;3,482;90,179
1657216914,101808;3,329;90,384
1657216914,199219;3,334;90,027
1657216914,3032708;4,674;100,352
1657216914,430532;2,48;93,597
1657216914,534004;3,142;89,757
1657216914,636039;3,51;90,003
1657216914,738235;3,414;90,387
1657216914,8409421;3,551;90,2
1657216914,945027;3,506;90,112
1657216915,049171;3,241;90,851
1657216915,149675;2,885;89,781
1657216915,244666;2,418;90,227
1657216915,3431392;3,579;90,555
1657216915,447412;4,016;90,369
1657216915,551849;3,732;90,573
1657216915,655995;3,655;90,476
1657216915,759321;3,572;90,759
1657216915,862995;3,261;90,395
1657216915,967482;3,378;90,936
1657216916,072257;3,239;91,75
1657216916,1769102;2,068;90,73
1657216916,273791;3,331;90,318
1657216916,370593;4,028;94,233
1657216916,478643;3,612;90,097
1657216916,582721;3,423;90,451
1657216916,68593;3,315;90,6
1657216916,79024;3,761;90,644
1657216916,895235;3,448;89,755
1657216916,998373;2,976;91,046
1657216917,1028092;2,961;91,272
1657216917,207011;3,576;90,209
1657216917,3090482;2,762;89,468
1657216917,4030368;2,818;90,615
1657216917,502213;3,723;90,048
1657216917,604822;3,78;90,6
1657216917,7084138;3,852;91,032
1657216917,812494;4,27;90,592
1657216917,9165592;3,369;89,97
1657216918,018826;3,628;92,343
1657216918,123959;3,282;90,868
1657216918,2270038;2,691;89,699
1657216918,329716;2,874;90,134
1657216918,427704;3,277;90,0
1657216918,523778;2,848;90,057
1657216918,6238751;3,752;90,12
1657216918,727446;3,49;89,908
1657216918,8331058;3,703;90,321
1657216918,9393332;3,591;89,962
1657216919,038532;3,367;89,849
1657216919,141189;3,032;89,793
1657216919,24453;3,404;89,873
1657216919,3489332;2,769;90,137
1657216919,447552;2,83;90,239
1657216919,543057;3,543;89,769
1657216919,64521;3,731;90,016
1657216919,7484841;3,431;90,191
1657216919,853397;4,364;90,082
1657216919,9531698;3,635;90,236
1657216920,055458;5,314;89,764
1657216920,15939;4,177;90,018
1657216920,2616599;3,422;89,649
1657216920,365267;3,587;90,129
1657216920,465157;3,247;91,144
1657216920,565229;3,3;89,676
1657216920,660474;3,174;90,072
1657216920,760959;2,804;88,36
1657216920,87152;3,572;91,587
1657216920,9759722;3,471;90,379
1657216921,07936;3,647;90,11
1657216921,1823559;2,708;90,079
1657216921,2819269;3,76;91,084
1657216921,387697;3,367;90,025
1657216921,4899158;3,394;90,154
1657216921,594752;3,419;90,296
1657216921,693716;2,887;90,819
1657216921,792819;3,142;90,445
1657216921,897357;3,668;90,713
1657216922,000772;4,642;90,554
1657216922,10501;3,115;90,017
1657216922,208429;3,372;90,27
1657216922,3116071;3,882;90,229
1657216922,410822;3,889;91,068
1657216922,515053;3,76;90,734
1657216922,6187189;1,763;105,328
1657216922,729588;3,797;90,911
1657216922,82833;3,831;90,694
1657216922,93208;3,732;90,612
1657216923,035056;3,572;90,551
1657216923,1374888;3,529;90,007
1657216923,23887;3,202;90,193
1657216923,341355;3,358;90,341
1657216923,442187;3,575;90,518
1657216923,545814;2,212;90,056
1657216923,649139;3,348;90,383
1657216923,7515898;2,656;91,086
1657216923,847081;5,613;91,064
1657216923,946572;4,587;90,628
1657216924,050315;4,741;90,368
1657216924,15519;3,205;90,555
1657216924,2554119;3,401;89,738
1657216924,357086;2,888;90,648
1657216924,455659;3,545;91,361
1657216924,558483;3,299;92,288
1657216924,660697;3,463;91,169
1657216924,764113;3,077;90,646
1657216924,8632488;2,942;90,342
1657216924,959188;2,601;90,72
1657216925,058649;3,537;90,293
1657216925,1617799;3,421;90,125
1657216925,2640462;3,985;90,396
1657216925,3659031;3,414;90,477
1657216925,468765;3,54;90,096
1657216925,572457;3,622;90,27
1657216925,676219;3,344;89,741
1657216925,7766788;3,408;90,142
1657216925,878935;3,791;90,045
1657216925,974895;2,131;91,102
1657216926,0725398;3,267;90,298
1657216926,176126;3,712;90,17
1657216926,279444;3,056;89,349
1657216926,381276;3,341;90,054
1657216926,485525;3,534;89,678
1657216926,590966;3,606;90,137
1657216926,695594;3,359;90,152
1657216926,798369;3,451;90,146
1657216926,90237;3,397;90,876
1657216927,008099;2,788;89,767
1657216927,102319;2,913;90,6
1657216927,201428;3,841;90,615
1657216927,306101;3,342;89,91
1657216927,4099169;3,705;89,779
1657216927,514357;3,391;90,099
1657216927,617941;3,183;89,791
1657216927,722684;3,574;90,158
1657216927,826902;3,4;90,272
1657216927,9303548;2,962;89,968
1657216928,03297;3,577;90,306
1657216928,1299572;3,183;89,756
1657216928,225416;3,832;90,06
1657216928,327289;3,595;90,171
1657216928,428382;3,564;89,795
1657216928,5323782;3,359;90,283
1657216928,636574;3,452;90,196
1657216928,739711;3,423;90,085
1657216928,843986;3,38;89,877
1657216928,9469461;3,377;89,79
1657216929,05037;3,706;90,297
1657216929,154034;2,843;90,061
1657216929,248238;2,53;90,015
1657216929,345089;3,671;90,01
1657216929,445793;2,64;89,736
1657216929,542912;4,057;91,593
1657216929,647258;3,502;90,239
1657216929,75175;3,486;90,299
1657216929,859169;3,858;90,89
1657216929,963896;3,778;90,049
1657216930,067594;3,43;90,456
1657216930,17262;3,251;89,985
1657216930,27465;3,15;89,788
1657216930,36947;2,593;90,159
1657216930,467565;3,632;90,07
1657216930,571813;3,567;89,861
1657216930,6766;3,396;89,563
1657216930,777745;3,469;90,251
1657216930,88186;3,42;90,189
1657216930,986146;3,628;90,684
1657216931,090761;3,652;90,796
1657216931,1946611;3,677;91,114
1657216931,298051;3,658;90,669
1657216931,39523;3,169;90,63
1657216931,492666;3,455;90,323
1657216931,5951629;3,538;89,988
1657216931,6977549;3,462;91,043
1657216931,807275;3,155;90,342
1657216931,911885;3,406;90,758
1657216932,015884;4,221;90,422
1657216932,1200151;3,294;89,946
1657216932,222773;3,652;90,871
1657216932,3271198;3,581;90,256
1657216932,4291341;2,569;90,084
1657216932,523241;4,024;90,978
1657216932,621886;3,626;90,338
1657216932,7257862;2,969;91,836
1657216932,8312478;3,449;90,166
1657216932,935627;3,22;92,663
1657216933,044729;3,641;93,818
1657216933,1513972;3,775;92,158
1657216933,257151;3,425;92,415
1657216933,365997;3,535;94,569
1657216933,498423;2,449;98,521
1657216933,60099;2,786;91,121
1657216933,6998909;3,419;90,475
1657216933,803953;4,207;89,884
1657216933,9416618;3,448;89,895
1657216934,0460238;3,425;90,178
1657216934,150626;4,029;90,423
1657216934,2556438;3,615;89,275
1657216934,3586822;2,71;90,058
1657216934,457888;3,445;90,522
1657216934,5630028;2,434;91,983
1657216934,66132;2,792;95,295
1657216934,762671;3,184;90,053
1657216934,8630579;3,991;90,172
1657216934,984313;3,561;90,148
1657216935,088615;3,112;90,342
1657216935,192072;3,046;90,914
1657216935,293472;3,713;90,227
1657216935,4040031;2,955;90,019
1657216935,508626;4,004;91,092
1657216935,621247;2,602;90,357
1657216935,7188191;2,764;89,878
1657216935,8126478;6,989;92,537
1657216935,910329;2,742;89,376
1657216936,004302;2,952;89,713
1657216936,0984461;2,053;89,159
1657216936,1936052;3,107;89,918
